ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,ax3,ay3,az3,gx3,gy3,gz3,ax4,ay4,az4,gx4,gy4,gz4
4106,22316,12218,81,-57,0,23782,4764,5124,-81,6,0,0,0,0,0,0,0,0,0,0,0,0,0
4050,22554,12222,56,-62,-3,23776,4644,5138,-72,10,0,0,0,0,0,0,0,0,0,0,0,0,0
4040,22550,12194,-2,-67,-1,23776,4580,5122,-56,12,-2,0,0,0,0,0,0,0,0,0,0,0,0
4132,22294,12176,-63,-69,-6,23804,4596,5232,-36,6,0,0,0,0,0,0,0,0,0,0,0,0,0
4128,21910,12206,-78,-69,-8,23906,4588,5174,-14,0,4,0,0,0,0,0,0,0,0,0,0,0,0
4174,21700,12198,-53,-64,-7,23978,4732,5180,18,14,4,0,0,0,0,0,0,0,0,0,0,0,0
4138,21682,12146,-13,-64,-7,23828,4916,5144,29,25,3,0,0,0,0,0,0,0,0,0,0,0,0
4124,21836,12254,45,-64,-8,23600,4982,5046,21,22,9,0,0,0,0,0,0,0,0,0,0,0,0
4248,22006,12146,55,-68,-7,23696,4976,5180,6,11,9,0,0,0,0,0,0,0,0,0,0,0,0
4338,21998,12198,53,-62,-5,23866,4952,5106,-22,8,11,0,0,0,0,0,0,0,0,0,0,0,0
4268,22046,12152,62,-53,-4,23928,4832,5102,-37,30,6,0,0,0,0,0,0,0,0,0,0,0,0
4196,22194,12170,75,-47,0,23756,4764,5084,-25,40,4,0,0,0,0,0,0,0,0,0,0,0,0
4064,22328,12162,72,-47,1,23790,4770,5200,-18,28,6,0,0,0,0,0,0,0,0,0,0,0,0
4008,22430,12242,38,-52,-3,23820,4760,5194,-14,18,4,0,0,0,0,0,0,0,0,0,0,0,0
4104,22380,12298,-1,-62,-2,23848,4700,5088,1,27,1,0,0,0,0,0,0,0,0,0,0,0,0
4214,22024,12162,-27,-66,0,23774,4702,4984,17,30,1,0,0,0,0,0,0,0,0,0,0,0,0
4198,21850,12148,-10,-58,-5,23662,4834,4998,28,23,5,0,0,0,0,0,0,0,0,0,0,0,0
4144,21872,12218,20,-53,-8,23734,4926,5130,29,8,6,0,0,0,0,0,0,0,0,0,0,0,0
4170,21980,12208,44,-55,-5,23850,5048,5124,16,2,5,0,0,0,0,0,0,0,0,0,0,0,0
4184,21966,12108,49,-51,-8,23868,5124,5032,-6,16,10,0,0,0,0,0,0,0,0,0,0,0,0
4104,21948,12180,57,-55,-4,23758,5190,5122,-36,29,9,0,0,0,0,0,0,0,0,0,0,0,0
4126,22068,12230,68,-53,-5,23698,4952,5148,-67,24,10,0,0,0,0,0,0,0,0,0,0,0,0
4138,22154,12286,74,-53,-5,23784,4768,5040,-74,17,6,0,0,0,0,0,0,0,0,0,0,0,0
4156,22312,12230,71,-61,-2,23866,4630,5050,-62,18,3,0,0,0,0,0,0,0,0,0,0,0,0
4182,22598,12204,40,-57,-5,23826,4640,5106,-35,22,6,0,0,0,0,0,0,0,0,0,0,0,0
4100,22570,12218,-1,-57,-3,23794,4748,5122,-7,20,8,0,0,0,0,0,0,0,0,0,0,0,0
4086,22304,12248,-59,-60,-7,23792,4842,5242,3,9,10,0,0,0,0,0,0,0,0,0,0,0,0
4066,21866,12248,-80,-65,-9,23852,4864,5096,-2,7,9,0,0,0,0,0,0,0,0,0,0,0,0
4162,21684,12038,-43,-70,-7,23932,4920,5052,-8,17,4,0,0,0,0,0,0,0,0,0,0,0,0
4166,21738,12110,16,-66,-6,23816,4926,5096,-11,25,3,0,0,0,0,0,0,0,0,0,0,0,0
4232,22050,12116,48,-60,-5,23764,4920,5122,-20,27,6,0,0,0,0,0,0,0,0,0,0,0,0
4230,22184,12258,34,-53,-7,23760,4902,5090,-26,26,7,0,0,0,0,0,0,0,0,0,0,0,0
4156,22088,12200,6,-57,-8,23790,4850,5194,-28,21,8,0,0,0,0,0,0,0,0,0,0,0,0
4180,21960,12190,29,-59,-4,23796,4878,5214,-25,16,12,0,0,0,0,0,0,0,0,0,0,0,0
4262,22094,12186,62,-53,-5,23832,4872,5076,-22,20,10,0,0,0,0,0,0,0,0,0,0,0,0
4126,22270,12256,59,-48,-6,23890,4844,5094,-25,26,3,0,0,0,0,0,0,0,0,0,0,0,0
3992,22450,12270,22,-53,-6,23840,4828,5042,-26,25,1,0,0,0,0,0,0,0,0,0,0,0,0
4036,22296,12180,-10,-62,-5,23798,4772,5114,-19,18,3,0,0,0,0,0,0,0,0,0,0,0,0
4130,22154,12158,-26,-66,-6,23850,4732,5140,-5,12,2,0,0,0,0,0,0,0,0,0,0,0,0
4184,21952,12122,-25,-62,-4,23854,4866,5080,5,15,4,0,0,0,0,0,0,0,0,0,0,0,0
4162,21810,12160,-11,-57,-7,23850,4970,5026,5,19,7,0,0,0,0,0,0,0,0,0,0,0,0
4154,21830,12186,23,-55,-9,23838,5066,5114,2,21,7,0,0,0,0,0,0,0,0,0,0,0,0
4144,21922,12192,36,-53,-15,23788,5006,5132,-15,20,5,0,0,0,0,0,0,0,0,0,0,0,0
4170,22008,12144,58,-53,-10,23848,4902,5030,-24,16,7,0,0,0,0,0,0,0,0,0,0,0,0
4130,22190,12232,81,-58,-3,23854,4852,5060,-21,21,5,0,0,0,0,0,0,0,0,0,0,0,0
4100,22362,12156,67,-58,-4,23804,4904,5082,-16,22,7,0,0,0,0,0,0,0,0,0,0,0,0
4162,22362,12202,36,-57,-5,23768,5002,5138,-19,22,6,0,0,0,0,0,0,0,0,0,0,0,0
4188,22184,12200,11,-50,-5,23782,4962,5046,-43,25,2,0,0,0,0,0,0,0,0,0,0,0,0
4106,22178,12194,10,-53,-8,23798,4876,5112,-51,23,1,0,0,0,0,0,0,0,0,0,0,0,0
4108,22182,12136,27,-57,-3,23866,4774,5272,-37,17,8,0,0,0,0,0,0,0,0,0,0,0,0
4108,22246,12188,16,-58,-4,23970,4792,5126,-16,18,5,0,0,0,0,0,0,0,0,0,0,0,0
4046,22170,12190,-15,-59,-6,23900,4866,5018,-1,28,5,0,0,0,0,0,0,0,0,0,0,0,0
4102,21990,12186,-24,-63,-7,23766,4952,5058,1,30,6,0,0,0,0,0,0,0,0,0,0,0,0
4152,21854,12134,2,-63,-8,23746,5022,5146,-11,23,6,0,0,0,0,0,0,0,0,0,0,0,0
4282,21966,12134,39,-60,-9,23814,5062,5128,-29,20,6,0,0,0,0,0,0,0,0,0,0,0,0
4188,22112,12208,61,-54,-8,23834,5024,5116,-37,27,6,0,0,0,0,0,0,0,0,0,0,0,0
4118,22266,12248,57,-55,-5,23730,4924,5112,-50,27,5,0,0,0,0,0,0,0,0,0,0,0,0
4126,22308,12192,25,-60,-5,23866,4796,5064,-56,21,5,0,0,0,0,0,0,0,0,0,0,0,0
4154,22210,12210,9,-58,-5,23882,4728,5054,-46,24,4,0,0,0,0,0,0,0,0,0,0,0,0
4108,22220,12186,-1,-54,-7,23888,4732,5144,-27,26,4,0,0,0,0,0,0,0,0,0,0,0,0
4046,22148,12216,1,-58,-7,23854,4816,5152,-12,24,6,0,0,0,0,0,0,0,0,0,0,0,0
4092,22168,12158,-1,-64,-10,23852,4890,5174,3,19,8,0,0,0,0,0,0,0,0,0,0,0,0
4158,22058,12106,-15,-62,-9,23776,4922,5044,-14,26,5,0,0,0,0,0,0,0,0,0,0,0,0
4198,21966,12208,-21,-58,-8,23826,4904,5064,-25,28,5,0,0,0,0,0,0,0,0,0,0,0,0
