ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
7804,32767,4194,98,-875,255,23072,19162,-2826,123,34,-18
8168,32767,4142,63,-870,236,23030,19282,-2792,125,29,6
8276,32767,4224,47,-859,243,23154,19176,-2650,108,20,5
8296,32767,4302,30,-865,250,23210,19186,-2666,114,34,-16
8340,32767,4260,57,-872,262,23112,19208,-2734,101,52,-26
8476,32767,4216,86,-881,260,22958,19188,-2718,75,62,-16
8830,32767,4070,82,-903,241,22886,19162,-2910,77,61,-6
9148,32767,4090,64,-907,240,22860,19242,-3024,129,45,4
9222,32767,4344,65,-902,248,22914,19364,-2922,153,28,3
9250,32767,4374,44,-914,264,23046,19306,-2864,108,22,-15
9224,32767,4350,47,-924,270,23046,19328,-3014,72,37,-25
9402,32767,4094,64,-959,258,23036,19306,-3028,90,46,-9
9836,32767,3870,44,-976,242,23032,19394,-3060,139,45,9
10152,32767,3812,21,-974,237,22982,19462,-3030,144,40,9
10170,32767,4114,57,-968,255,23010,19466,-3052,90,47,-2
10248,32767,4122,101,-987,273,22976,19448,-3138,55,55,-7
10396,32767,3964,112,-998,287,22968,19372,-3098,54,52,-3
10666,32767,3782,134,-1030,294,22958,19314,-3130,65,40,-3
10960,32767,3666,91,-1045,284,22950,19392,-3280,75,38,-3
11120,32767,3650,46,-1060,281,23010,19536,-3310,67,46,1
11278,32767,3654,19,-1069,293,22954,19534,-3210,81,46,15
11406,32767,3614,-3,-1076,304,22978,19488,-3298,88,45,18
11488,32767,3664,2,-1081,314,22950,19472,-3342,49,46,4
11722,32767,3202,30,-1092,311,22966,19460,-3276,2,33,-6
12086,32767,3010,23,-1110,298,23040,19404,-3280,-8,28,-5
12388,32767,3082,35,-1110,299,23098,19516,-3376,45,43,19
12590,32767,3220,41,-1124,322,23084,19550,-3490,24,39,33
12634,32767,3110,57,-1134,340,23114,19542,-3378,-23,27,37
12852,32767,2870,69,-1144,370,23068,19448,-3240,-25,33,32
13180,32767,2664,59,-1151,377,22964,19550,-3086,9,56,16
13476,32767,2508,9,-1156,359,22842,19706,-3288,8,73,11
13574,32767,2402,-17,-1155,353,22778,19702,-3218,-29,69,26
13538,32767,2476,-40,-1151,368,22752,19562,-3446,-60,44,29
13698,32767,2524,-66,-1164,397,22792,19344,-3516,-97,19,3
13994,32767,2474,-61,-1179,407,22948,19188,-3348,-82,16,-2
14326,32767,2204,-70,-1185,393,23018,19196,-3416,15,24,6
14560,32767,2102,-105,-1186,374,23108,19374,-3480,118,46,22
14514,32767,2156,-139,-1194,370,23022,19626,-3448,189,65,38
14574,32767,2128,-139,-1217,374,22880,19696,-3356,118,54,27
14726,32767,1932,-113,-1248,367,22756,19510,-3220,13,21,44
14888,32767,1706,-72,-1266,353,22714,19032,-3164,-52,50,17
15172,32767,1462,-36,-1301,336,22658,19136,-3066,21,51,-9
15850,32767,1198,-59,-1318,288,22746,19600,-3314,178,15,5
16272,32767,1196,-23,-1308,292,22918,19834,-3448,188,-18,14
16416,32767,1114,-18,-1282,319,23128,19782,-3696,49,-31,-3
16428,32767,658,-64,-1246,320,23288,19672,-3738,-30,1,-14
16396,32767,224,-83,-1226,282,23170,19668,-3768,5,42,-5
16610,32767,-182,-72,-1226,248,23012,19782,-3706,37,62,9
16900,32767,-282,-61,-1204,229,22934,19862,-3558,101,63,31
17082,32767,-268,-52,-1178,218,22890,20002,-3662,151,62,44
17080,32767,-528,-52,-1106,230,22876,19930,-3786,63,48,34
17074,32767,-772,-51,-1066,209,22978,19700,-3916,-38,32,4
17166,32767,-884,-22,-1048,179,23040,19520,-3792,-73,37,-9
17362,32767,-958,7,-1047,171,23020,19382,-3612,-58,57,-8
17542,32767,-862,6,-1039,173,22882,19634,-3554,43,68,5
17650,32767,-842,-7,-1027,173,22858,19956,-3822,149,57,22
17840,32767,-1134,-30,-999,173,22896,20132,-3988,143,45,30
17880,32767,-1388,-48,-955,188,22958,19938,-3754,7,32,19
17910,32767,-1650,-73,-916,188,23118,19632,-4030,-113,32,4
17926,32767,-1586,-88,-913,157,23048,19490,-4068,-89,66,0
18184,32767,-1648,-97,-934,149,22896,19644,-3498,63,106,5
18346,32767,-1766,-129,-914,147,22638,19968,-3346,175,85,36
17888,32767,-1880,-153,-847,144,22630,19974,-3508,111,25,54
17764,32767,-1972,-151,-803,129,22904,19864,-4048,-10,-16,31
18346,32767,-2008,-67,-851,123,23206,19692,-4150,-144,-4,-27
18884,32767,-2230,-36,-861,134,23234,19458,-3886,-191,49,-60
19004,32767,-2360,-80,-800,133,22862,19654,-3390,4,85,-3
18680,32767,-2170,-22,-747,132,22528,19926,-3376,144,41,63
18402,32767,-1980,-18,-775,159,22596,20052,-3958,176,-30,85
18558,32767,-2320,-93,-777,170,23024,19876,-4398,34,-46,33
18610,32767,-2796,-143,-742,152,23360,19612,-4460,-101,12,-41
18556,32767,-2928,-138,-701,126,23348,19432,-4060,-133,90,-76
18360,32767,-2682,-80,-715,108,22958,19412,-3874,-65,131,-54
18408,32767,-2442,-2,-778,101,22460,19506,-3514,33,125,-13
18848,32767,-2616,26,-825,110,22270,19952,-3758,156,13,42
19200,32767,-2994,-60,-794,152,22630,19996,-4102,111,-34,22
19094,32767,-3394,-153,-732,143,22988,20056,-4154,68,-16,-24
18796,32767,-3582,-216,-697,98,23224,20164,-4172,27,19,-35
18632,32767,-3780,-222,-684,50,23194,19994,-4038,-49,52,-16
18830,32767,-3752,-170,-698,19,23028,19700,-3978,-106,90,-19
19304,32767,-3806,-90,-710,23,22726,19602,-3730,-71,112,-41
19488,32767,-3972,-60,-668,33,22462,19922,-3552,42,63,-19
19504,32767,-4088,-54,-592,20,22450,20410,-3474,180,-80,107
19564,32767,-4502,-20,-532,4,22890,20516,-4048,216,-156,163
19490,32767,-4820,15,-458,-3,23334,20078,-4534,34,-123,99
19336,32767,-4634,0,-398,-32,23708,19612,-4572,-153,-11,-25
19110,32767,-4260,-15,-362,-62,23620,19424,-4390,-169,94,-78
18894,32767,-4078,10,-354,-73,23078,19444,-3920,-49,134,-35
18876,32767,-4004,47,-367,-85,22422,19786,-3592,130,78,61
19044,32767,-4062,66,-382,-88,22256,19728,-3730,166,-22,103
19074,32767,-4138,49,-370,-79,22756,19736,-4062,102,-61,21
19142,32767,-4232,-6,-361,-97,23386,19816,-4426,25,-8,-62
19044,32767,-4240,-59,-326,-133,23438,19772,-4482,4,55,-56
18832,32767,-3964,-61,-341,-143,23206,19696,-4312,17,97,-39
18760,32767,-4132,-52,-384,-139,22586,19736,-3958,66,109,-31
18638,32767,-4048,-70,-402,-130,22268,20032,-3820,159,53,4
18726,32767,-4160,-94,-427,-122,22352,20174,-4082,189,-26,40
19024,32767,-4510,-105,-427,-129,22798,20000,-4152,122,-65,26
19256,32767,-4880,-82,-400,-151,23266,20008,-4514,34,-35,-24
19284,32767,-5118,-54,-349,-158,23448,20168,-4714,11,49,-50
19172,32767,-5026,-59,-271,-138,23234,20402,-4698,74,88,-10
18936,32767,-5098,-56,-236,-86,22762,20556,-4372,112,97,43
18466,32767,-5024,-64,-212,-43,22332,20460,-4090,83,54,69
18130,32767,-4702,-81,-194,-63,22312,20300,-4210,-15,-18,53
18196,32767,-4642,-62,-208,-118,22802,19924,-4402,-103,-65,19
18760,32767,-5180,-26,-217,-153,23276,19734,-4588,-103,-54,9
19382,32767,-5424,30,-173,-132,23398,19594,-4636,-48,3,15
19336,32767,-5014,112,-86,-79,23102,19944,-4458,66,76,15
18526,32767,-4518,155,-40,-40,22730,20354,-4420,115,78,21
18168,32767,-4644,120,-65,6,22622,20480,-4412,76,31,30
18080,32767,-4562,78,-84,18,22826,20278,-4574,-38,-8,15
18376,32767,-4596,39,-109,4,23128,19918,-4580,-128,3,-5
18628,32767,-4854,-4,-111,6,23194,19660,-4704,-124,35,-17
18842,32767,-4880,-67,-107,8,23046,19730,-4596,-59,72,-15
18626,32767,-4644,-91,-102,30,22690,19928,-4542,-19,96,-8
18122,32767,-4020,-113,-126,67,22438,20288,-4332,24,45,11
17834,32767,-3936,-156,-188,111,22742,20362,-4336,30,-3,21
18350,32767,-4528,-156,-212,115,23166,20270,-4416,-34,-12,6
18710,32767,-4804,-104,-226,89,23264,19926,-4464,-111,18,-19
18958,32767,-5022,-107,-214,59,23098,19786,-4442,-117,63,-20
18916,32767,-4806,-69,-189,51,22690,19754,-4420,-53,84,-2
18618,32767,-4418,11,-195,72,22446,20032,-4380,16,52,20
18548,32767,-4412,28,-226,86,22624,20126,-4358,23,0,21
18726,32767,-4700,12,-219,84,23084,20046,-4310,-38,-19,-5
19020,32767,-5138,-1,-195,69,23094,20066,-4382,-45,0,-6
18972,32767,-5310,-35,-150,13,22922,20066,-4450,-9,22,13
18900,32767,-4936,-30,-132,-10,22750,20168,-4484,55,15,42
18778,32767,-4670,32,-131,23,22750,20270,-4506,39,-12,48
18902,32767,-5016,62,-127,53,22998,20204,-4542,-41,-22,13
18838,32767,-5216,6,-92,7,23054,20076,-4492,-96,0,-10
18788,32767,-5226,4,-79,-12,23074,19950,-4470,-106,30,-20
18732,32767,-4994,48,-84,5,22946,19930,-4592,-91,52,-21
18662,32767,-4728,46,-92,-10,22852,19994,-4498,-45,51,-12
18858,32767,-4902,28,-90,-10,22888,20096,-4494,-1,43,-3
18968,32767,-5180,36,-67,34,22862,20140,-4296,-4,45,-2
18796,32767,-5070,17,-47,13,22828,20018,-4162,-5,43,8
18478,32767,-4844,-8,-52,-33,22716,19942,-4228,-31,33,15
18498,32767,-4708,3,-73,-54,22736,19972,-4368,-56,19,2
18692,32767,-4694,6,-91,-71,22912,20080,-4596,-45,13,-4
19076,32767,-5104,-3,-88,-53,23028,20292,-4506,-47,19,3
19344,32767,-5546,58,-45,2,23088,20212,-4418,-76,31,14
19028,32767,-5428,92,6,17,22890,19936,-4222,-96,39,7
18504,32767,-4806,71,18,-8,22752,19752,-4084,-89,31,-3
18464,32767,-4528,63,-14,-14,22706,19732,-4366,-48,14,-1
18654,32767,-4786,12,-37,-41,22840,19852,-4518,4,-1,17
18928,32767,-5082,-34,-20,-61,23014,20096,-4434,40,-4,33
19026,32767,-5112,-16,1,-28,23090,20098,-4336,21,11,21
18798,32767,-5064,26,3,30,22968,20136,-4236,-15,36,-1
18502,32767,-4780,20,18,-2,22664,20044,-4272,-44,37,-3
18246,32767,-4338,26,4,-52,22690,20022,-4262,-36,8,4
18698,32767,-4580,51,-61,-31,23050,19970,-4426,-15,-9,1
19226,32767,-5000,18,-45,-20,23196,20012,-4584,-15,12,-7
18994,32767,-5006,24,-2,-16,23072,20006,-4514,-31,47,-12
18598,32767,-4748,23,2,-13,22888,20096,-4350,-26,63,-6
18432,32767,-4616,7,-19,-8,22662,20108,-4370,-11,51,4
18454,32767,-4594,-9,-41,-21,22580,20028,-4348,-18,29,3
18616,32767,-4642,-34,-43,-45,22792,19932,-4348,-30,12,-1
18696,32767,-4814,-72,-50,-51,22888,19940,-4332,-15,23,-9
18720,32767,-4900,-72,-56,-50,22816,19998,-4250,2,32,-4
18610,32767,-4648,-37,-57,-67,22738,19958,-4306,-1,20,6
18596,32767,-4440,17,-75,-56,22786,20042,-4394,-14,-3,9
18836,32767,-4634,57,-86,-27,23022,20052,-4636,-14,-13,8
19016,32767,-4966,74,-58,-17,23172,20020,-4528,1,9,11
18922,32767,-5076,101,-28,-4,23036,20122,-4514,14,43,10
18554,32767,-4896,94,-6,13,22780,20152,-4498,-10,56,6
18270,32767,-4672,61,-27,4,22616,20130,-4360,-38,38,4
18250,32767,-4706,32,-58,-16,22630,20112,-4378,-43,10,9
18640,32767,-4814,-8,-75,-27,22850,20118,-4436,-39,-10,19
18798,32767,-4776,-6,-64,-12,23122,19984,-4516,-42,-6,21
18808,32767,-4896,3,-53,-2,23114,19964,-4532,-42,20,11
18624,32767,-4894,15,-36,5,22920,19996,-4502,-43,54,3
18548,32767,-4766,33,-36,17,22654,19994,-4414,-51,59,-1
18500,32767,-4570,28,-36,16,22556,20010,-4396,-49,16,9
18540,32767,-4618,25,-52,16,22832,19958,-4354,-38,-9,13
18664,32767,-4714,-2,-69,16,23074,20014,-4496,-18,-2,1
18788,32767,-4754,-11,-67,32,23070,20176,-4474,-8,30,-1
18722,32767,-4732,-22,-48,27,22956,20144,-4384,-31,50,9
18564,32767,-4670,-21,-42,21,22744,20050,-4370,-71,50,1
18452,32767,-4586,1,-59,21,22698,19936,-4292,-83,34,-16
18662,32767,-4652,-9,-89,5,22818,19878,-4166,-61,12,-25
18842,32767,-4864,-19,-89,-5,22964,19904,-4322,-31,2,-14
18854,32767,-4706,-7,-77,-2,22920,19916,-4396,-26,21,-2
18682,32767,-4534,4,-72,4,22822,20024,-4388,-25,28,-6
18796,32767,-4878,20,-84,30,22752,20120,-4308,-9,23,-5
18934,32767,-5086,28,-75,40,22770,20134,-4396,-13,14,1
18874,32767,-4720,47,-69,41,22826,20224,-4366,-34,2,0
18776,32767,-4758,27,-69,39,22960,20228,-4448,-45,-5,7
18692,32767,-4932,0,-57,31,22986,20098,-4478,-53,2,20
18652,32767,-4988,-13,-46,34,22976,19940,-4510,-63,22,25
18622,32767,-4892,-12,-48,37,22688,19844,-4346,-58,52,10
18714,32767,-4854,-2,-57,35,22536,19894,-4192,-29,43,4
18678,32767,-4730,-9,-49,9,22652,20016,-4122,-12,13,10
18680,32767,-4672,-16,-56,-9,22778,20056,-4154,-22,-13,15
18790,32767,-4702,-11,-64,-13,22930,19986,-4378,-44,-16,14
18888,32767,-4640,-1,-59,-14,23012,19906,-4420,-50,2,10
18956,32767,-4708,25,-52,-6,22908,19850,-4406,-40,24,7
18986,32767,-4822,31,-43,-9,22820,19912,-4324,-14,30,10
18874,32767,-4644,45,-41,-7,22824,20038,-4260,-9,15,0
18670,32767,-4404,57,-51,6,22906,20106,-4364,-30,8,-2
18672,32767,-4564,27,-64,3,22888,20158,-4378,-25,12,14
18774,32767,-4762,4,-67,7,22930,20092,-4394,-19,18,23
18764,32767,-4738,12,-63,21,22870,19978,-4404,-36,27,8
18748,32767,-4734,11,-71,21,22842,19834,-4288,-45,37,-2
18692,32767,-4710,-18,-76,-4,22740,19874,-4206,-39,38,4
18738,32767,-4618,-35,-77,-21,22634,19906,-4210,-28,26,11
