ax,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
8766,32767,-6876,116,-161,-118,23220,21446,-10522,33,25,-7
8596,32767,-6696,172,-156,-91,23014,21688,-10606,78,27,3
8572,32767,-6800,155,-159,-88,22972,21632,-10612,58,6,10
8606,32767,-6954,83,-153,-101,23106,21588,-10708,15,-8,-1
8564,32767,-6882,35,-147,-106,23206,21538,-10752,-16,2,-2
8516,32767,-6848,-3,-154,-98,23104,21550,-10622,-12,14,6
8420,32767,-6876,-22,-157,-75,23072,21580,-10740,4,6,11
8546,32767,-6942,-15,-130,-63,23052,21730,-10586,15,2,13
8456,32767,-6758,2,-125,-53,23158,21758,-10714,-2,-1,19
8468,32767,-6858,27,-134,-28,23298,21652,-10810,-50,7,21
8596,32767,-6870,57,-123,-8,23252,21578,-10832,-74,21,8
8568,32767,-7046,101,-118,5,23210,21566,-10744,-53,28,8
8516,32767,-7136,92,-111,21,23188,21654,-10612,-23,25,21
8564,32767,-7204,46,-78,21,23190,21662,-10640,-39,16,17
8458,32767,-7022,34,-56,13,23238,21586,-10702,-83,25,10
8498,32767,-7072,-16,-70,-2,23148,21526,-10622,-91,41,11
8456,32767,-6962,-37,-66,4,23072,21544,-10500,-58,38,19
8482,32767,-6922,-27,-57,7,23076,21714,-10556,-15,15,22
8608,32767,-7192,-31,-33,6,23242,21688,-10624,-28,0,25
8694,32767,-7186,0,-13,18,23354,21478,-10674,-75,3,15
8660,32767,-6956,33,-4,15,23284,21360,-10684,-84,28,7
8526,32767,-6702,41,-6,10,23044,21446,-10534,-26,44,14
8410,32767,-6692,22,-20,18,23042,21536,-10590,26,21,26
8526,32767,-6800,-11,-25,6,23176,21650,-10690,43,6,22
8564,32767,-6888,-26,-20,-18,23328,21720,-10838,10,11,10
8592,32767,-6932,12,-16,-5,23346,21630,-10630,-38,23,7
8510,32767,-6904,55,-2,6,23196,21618,-10570,-42,38,8
8316,32767,-6746,87,-9,10,23036,21622,-10512,-39,33,7
8280,32767,-6648,67,-36,4,23080,21618,-10460,-40,13,6
8450,32767,-6652,5,-54,-12,23206,21666,-10546,-44,13,10
8618,32767,-6734,-41,-55,-25,23294,21538,-10700,-48,22,10
8646,32767,-6840,-55,-44,-32,23194,21466,-10690,-49,25,11
8646,32767,-6854,-11,-34,-15,23102,21444,-10706,-38,24,11
8482,32767,-6750,56,-55,10,23090,21532,-10546,-17,20,16
8466,32767,-6736,73,-77,24,23154,21598,-10550,-6,17,16
8576,32767,-6774,60,-67,26,23232,21700,-10610,-5,20,16
8590,32767,-6836,37,-52,24,23216,21780,-10672,-24,23,15
8534,32767,-6774,0,-46,20,23234,21732,-10638,-61,24,17
8410,32767,-6820,-29,-54,10,23230,21570,-10568,-69,29,21
8490,32767,-6782,-21,-65,16,23166,21520,-10510,-54,38,16
8746,32767,-6884,-38,-58,10,23150,21630,-10512,-27,36,13
8772,32767,-6790,-71,-28,1,23168,21544,-10706,-28,31,18
8516,32767,-6700,-90,-18,-5,23222,21418,-10714,-58,28,10
8356,32767,-6632,-81,-38,-11,23248,21380,-10646,-65,27,-9
8360,32767,-6580,-26,-68,-3,23324,21376,-10586,-29,26,-16
8496,32767,-6598,57,-101,16,23244,21486,-10498,19,32,0
8816,32767,-6796,82,-118,18,23102,21666,-10488,40,37,9
8782,32767,-6664,73,-98,27,23038,21734,-10602,14,30,9
8594,32767,-6778,53,-94,30,23140,21724,-10720,-19,15,11
8534,32767,-6944,-42,-81,-4,23310,21656,-10694,-39,8,8
8534,32767,-6744,-42,-91,-7,23324,21620,-10672,-46,18,9
8662,32767,-6680,-31,-107,-8,23376,21510,-10624,-45,31,12
8744,32767,-6886,-18,-98,7,23242,21572,-10612,-36,40,9
8878,32767,-7002,19,-71,22,23168,21560,-10560,-21,48,8
8800,32767,-7028,37,-41,14,23100,21612,-10566,-32,38,19
8538,32767,-6842,47,-32,19,23186,21576,-10678,-56,26,17
8394,32767,-6810,50,-45,25,23230,21548,-10680,-48,26,11
8606,32767,-6722,47,-63,18,23216,21554,-10624,-9,32,12
8784,32767,-6756,18,-68,14,23206,21634,-10662,0,37,20
8772,32767,-6632,-11,-48,8,23170,21596,-10744,-34,34,13
8712,32767,-6664,-28,-30,0,23186,21474,-10646,-58,27,-3
8602,32767,-6688,-29,-23,3,23206,21574,-10532,-42,24,-3
8506,32767,-6574,2,-47,11,23240,21520,-10510,-13,18,20
8536,32767,-6650,23,-83,23,23244,21552,-10690,-30,20,26
8682,32767,-6602,4,-90,28,23184,21486,-10620,-43,25,8
8816,32767,-6694,-115,-70,3,23242,21586,-10622,-39,24,-2
8684,32767,-6700,-181,-49,-14,23240,21694,-10544,-27,20,4
8596,32767,-6560,-162,-51,-11,23262,21594,-10648,-35,26,16
8704,32767,-6686,-71,-76,2,23192,21546,-10642,-50,31,18
8744,32767,-6688,5,-82,23,23154,21516,-10612,-43,23,11
8728,32767,-6652,71,-80,48,23248,21584,-10586,-6,5,9
8704,32767,-6690,105,-66,49,23382,21610,-10650,-2,11,14
