ax,ay,az,gx,gy,gz,ax,ay,az,gx,gy,gz,ax,ay,az,gx,gy,gz
32767,32767,2376,-89,-31,72,24184,25242,-1226,105,-53,61,8664,8244,-8624,21,114,-71
32767,32574,2250,-61,-18,70,24040,25044,-1288,89,-58,49,8730,8176,-8830,46,107,-52
32767,32510,2000,-16,-12,67,23980,25122,-1084,123,-91,46,8666,8060,-8878,58,114,-52
32767,32564,2000,19,-6,66,24170,25166,-1100,152,-98,41,8594,8064,-8780,71,112,-49
32767,32767,1952,40,-19,54,24066,25124,-1314,164,-89,60,8652,8056,-8770,80,102,-41
32767,32767,1846,27,-33,52,23918,25466,-1090,221,-141,99,8684,8098,-8748,100,92,-35
32767,32767,1908,26,-46,57,24252,25640,-924,221,-144,93,8860,8228,-8892,124,88,-29
32767,32767,1866,30,-65,56,24304,25248,-1098,156,-98,89,8900,8310,-9006,123,106,-21
32767,32660,1912,49,-77,54,23754,24908,-1166,183,-131,111,8724,8252,-8938,93,133,-28
32767,32424,2122,123,-56,60,23852,25076,-1142,281,-203,114,8564,8190,-8814,66,123,-28
32767,32767,2244,206,-48,60,24456,25442,-1270,333,-220,97,8622,8032,-8864,69,102,-26
32767,32767,2330,197,-47,59,24742,25892,-1342,294,-191,84,8682,7958,-8920,81,109,-29
32767,32767,2568,180,-57,53,24612,26200,-1452,193,-136,76,8562,7958,-8830,110,111,-26
32767,32767,2398,177,-65,49,24614,26414,-1442,72,-87,51,8644,7978,-8972,142,85,-17
32767,32767,2290,145,-57,49,24666,26308,-1314,-40,-52,7,8754,7920,-9176,142,84,-26
32767,32592,2450,184,-55,72,24684,26010,-1310,-105,-12,-16,8700,8028,-9176,134,119,-40
32767,32606,2490,398,-38,81,24554,25800,-1344,-118,7,-23,8346,8142,-8890,130,137,-40
32767,32767,2148,430,-35,62,24438,25794,-1200,-104,13,-36,8306,8142,-8734,130,90,-28
32767,32767,1824,322,-34,51,24436,25924,-1174,-75,11,-45,8496,8012,-8796,123,62,-39
32767,32767,1678,165,-49,61,24338,26050,-1090,-55,5,-33,8600,8060,-9034,109,74,-53
32767,32767,1566,45,-94,76,24242,26152,-1056,-59,-26,-23,8510,8312,-9212,89,93,-52
32767,32767,1426,-22,-130,65,24336,26102,-1066,-70,-40,-23,8392,8474,-9334,45,90,-48
32767,32767,1470,-76,-127,75,24230,26062,-920,-64,-76,35,8442,8624,-9386,-11,77,-47
32767,32767,1642,-87,-125,72,24364,26012,-894,-51,-88,35,8468,8666,-9388,-71,77,-44
32767,32767,2078,-99,-136,49,24290,25976,-992,-79,-87,25,8574,8562,-9346,-124,84,-34
32767,32767,2204,-148,-143,40,24342,25756,-928,-93,-89,27,8532,8202,-9394,-160,95,-27
32767,32767,2444,-180,-145,33,24508,25616,-956,-83,-96,21,8494,8000,-9306,-156,87,-17
32767,32767,2596,-172,-143,4,24514,25632,-872,-58,-91,18,8496,7742,-9248,-140,75,-8
32767,32767,2614,-122,-129,35,24436,25796,-936,-33,-88,25,8442,7534,-9316,-92,72,-5
32767,32767,2852,-108,-92,30,24390,25988,-886,-33,-92,26,8276,7696,-9340,-18,69,3
32767,32767,2848,-69,-82,30,24504,25982,-920,-61,-90,23,8204,7910,-9352,32,47,18
32767,32767,2742,-110,-77,21,24430,25844,-1018,-83,-82,23,8314,8064,-9288,38,22,28
32767,32767,2686,-160,-60,18,24538,25768,-1036,-67,-89,34,8408,8202,-9204,33,1,31
