gravity_test
Module: E0:5A:1B:76:51:80 (05)
t(us),ax,ay,az,gx,gy,gz,y,p,r
3049834,32767,19346,6320,-25,-45,-9,-0.680331,1.015445,1.275639
3065460,32767,19420,6278,-24,-45,-8,-0.679670,1.015453,1.275886
3081087,32767,19446,6288,-23,-45,-9,-0.679522,1.015494,1.276149
3096714,32767,19428,6248,-24,-45,-9,-0.679156,1.015516,1.276544
3112341,32767,19432,6270,-26,-45,-8,-0.678556,1.015584,1.276924
3127967,32767,19396,6214,-24,-44,-9,-0.678337,1.015564,1.277055
3143593,32767,19434,6290,-26,-45,-10,-0.677664,1.015571,1.277301
3159218,32767,19444,6324,-24,-43,-10,-0.676989,1.015578,1.277548
3174844,32767,19396,6234,-23,-43,-8,-0.676834,1.015618,1.277812
3190470,32767,19416,6326,-24,-43,-9,-0.676790,1.015677,1.277917
3206096,32767,19462,6332,-24,-44,-10,-0.676108,1.015683,1.278164
3221723,32767,19374,6280,-24,-45,-9,-0.675424,1.015689,1.278411
3237350,32767,19390,6272,-25,-44,-10,-0.675265,1.015730,1.278675
3252977,32767,19412,6248,-25,-44,-10,-0.674576,1.015736,1.278922
3268604,32767,19420,6286,-25,-45,-10,-0.674347,1.015715,1.279053
3284230,32767,19454,6276,-24,-45,-10,-0.673186,1.015747,1.279416
3299857,32767,19452,6284,-24,-45,-10,-0.672954,1.015727,1.279547
3315484,32767,19452,6354,-25,-45,-9,-0.672790,1.015767,1.279812
3331110,32767,19420,6288,-24,-43,-9,-0.797170,2.229413,3.085501
3346736,32767,19450,6258,-24,-45,-9,-0.671547,1.015738,1.280041
3362361,32767,19454,6294,-25,-45,-9,-0.670769,1.015683,1.280155
3377987,32767,19440,6268,-24,-45,-9,-0.670601,1.015722,1.280419
3393613,32767,19424,6264,-25,-45,-10,-0.669887,1.015727,1.280666
3409239,32767,19402,6252,-25,-44,-9,-0.669170,1.015732,1.280913
3424865,32767,19408,6234,-24,-44,-11,-0.668589,1.015769,1.280782
3440490,32767,19400,6256,-25,-45,-9,-0.668347,1.015748,1.280913
3456116,32767,19410,6262,-24,-44,-11,-0.667622,1.015752,1.281160
3471743,32767,19400,6214,-24,-44,-10,-0.666893,1.015757,1.281407
3487369,32767,19448,6228,-25,-44,-10,-0.666647,1.015736,1.281538
3502996,32767,19400,6290,-24,-45,-10,-0.665913,1.015740,1.281785
3518622,32767,19372,6226,-24,-45,-9,-0.665425,1.015765,1.281901
3534248,32767,19438,6294,-25,-44,-9,-0.664399,1.015819,1.282166
3549875,32767,19402,6290,-24,-45,-9,-0.663837,1.015785,1.282148
3565501,32767,19426,6306,-25,-45,-9,-0.663583,1.015763,1.282279
3581127,32767,19480,6242,-24,-45,-9,-0.662834,1.015767,1.282526
3596753,32767,19470,6284,-24,-46,-10,-0.662267,1.015733,1.282507
3612379,32767,19454,6272,-25,-45,-11,-0.661512,1.015736,1.282754
3628005,32767,19408,6286,-25,-45,-10,-0.661217,1.015785,1.282772
3643631,32767,19372,6216,-24,-45,-9,-0.660143,1.015776,1.282870
3659256,32767,19416,6282,-24,-45,-9,-0.659306,1.015720,1.282983
3674882,32767,19408,6360,-25,-44,-10,-0.659077,1.015829,1.283136
3690509,32767,19390,6292,-24,-44,-9,-0.658499,1.015794,1.283117
3706135,32767,19420,6308,-24,-44,-10,-0.657654,1.015738,1.283229
3721761,32767,19456,6246,-25,-45,-9,-0.657030,1.015891,1.283340
3737387,32767,19398,6254,-26,-44,-10,-0.656447,1.015856,1.283322
3753014,32767,19450,6304,-26,-44,-10,-0.655469,1.015780,1.283593
