ax,ay,az,gx,gy,gz
20280,21068,-4846,-80,15,-48
20650,20932,-4994,-82,-14,-46
21090,20832,-5426,-36,-3,-30
21360,21056,-5552,2,51,-43
20984,21202,-5216,-30,85,-53
20264,21116,-4782,-66,64,-54
20090,20998,-4656,-67,0,-53
20890,21122,-5262,2,-57,-12
21280,21516,-5608,5,-32,-2
21058,21396,-5280,-64,14,3
20472,20920,-5058,-44,8,46
20260,20824,-4918,18,-20,56
20596,20986,-4902,10,-63,18
21134,20976,-5278,-3,-80,12
21038,21040,-5498,-3,-47,22
20730,21320,-5228,3,-10,25
20516,21292,-5046,-19,-34,0
20646,21380,-5176,-59,-70,-41
20868,21106,-5540,-68,-69,-20
20890,21110,-5438,-25,-29,17
20710,21314,-5070,-1,-21,64
20414,21378,-5104,-25,-40,57
20718,21326,-5208,-77,-51,-9
20924,20810,-5304,-70,-57,4
20994,20946,-5532,-20,-44,-9
20912,21260,-5384,-30,-8,-23
20638,21254,-5114,-33,-14,22
20522,21218,-5124,-29,-35,45
20646,21194,-5308,-26,-35,27
20950,21108,-5326,-55,-31,-23
20942,21202,-5408,-73,-26,-58
20938,21344,-5370,-60,-13,-25
20898,21276,-5408,-36,15,38
20514,21338,-5146,-12,22,76
20276,21230,-5032,-30,-10,68
20494,21200,-5248,-30,-54,34
21114,21118,-5524,-61,-44,-3
21304,21022,-5542,-38,-3,29
20894,21212,-5430,0,19,47
20636,21314,-5300,-15,22,38
20772,21212,-5402,-54,14,-23
20920,20976,-5488,-89,19,-74
20786,21042,-5480,-78,38,-71
20584,21082,-5150,-42,34,-31
20410,21098,-5048,17,7,65
20126,21394,-5470,80,-38,108
21274,22022,-5924,19,-11,17
21404,21726,-5646,-82,42,21
20320,20874,-4938,-115,44,19
19778,20644,-4736,-63,-41,-18
19970,20794,-5134,2,-119,5
21614,21836,-6266,39,-65,7
21192,21810,-5684,-36,8,31
20272,21224,-5054,-65,10,39
19910,21100,-4876,-38,-58,5
