ax,ay,az,gx,gy,gz
32767,32767,-8514,1000,86,191
32767,32767,-8372,1113,97,206
32767,32767,-8428,1547,148,325
32767,32767,-9034,1899,141,418
32767,32767,-9670,1798,40,428
32767,32767,-10388,1338,-79,370
32767,32767,-10630,1109,-166,348
32767,32767,-11336,1408,-128,374
32767,32767,-12030,1413,-120,296
32767,32767,-12584,1100,-121,182
32767,32767,-12560,750,-142,131
32767,32767,-12564,669,-170,123
32767,32767,-12514,860,-168,117
32767,32767,-12840,1107,-150,108
32767,32767,-13468,928,-129,26
32767,32767,-13888,228,-136,-132
32767,32767,-13864,-18,-123,-96
32767,32767,-14012,-71,-104,-33
32767,32767,-14006,-71,-87,-55
32767,32767,-13960,-148,-85,-80
32767,32767,-13776,-289,-56,-82
32767,32767,-13436,-198,4,-60
32767,32767,-13078,59,39,-45
32767,32767,-12444,369,2,6
32767,32767,-12624,478,-45,50
32767,32767,-13192,235,-142,30
32767,32767,-13876,-180,-191,-22
32767,32767,-14264,-385,-189,-43
32767,32767,-14606,-345,-124,-46
32767,32767,-14444,-262,-30,-85
32767,32767,-13862,-109,32,-79
32767,32767,-12854,10,69,-35
32767,32767,-12644,-70,21,-43
32767,32767,-12740,-192,-39,-65
32767,32767,-12920,-229,-87,-44
32767,32767,-12908,-57,-103,-1
32767,32767,-13166,55,-112,13
32767,32767,-13390,67,-104,28
32767,32767,-13488,31,-90,39
32767,32767,-13430,-37,-72,0
32767,32767,-13146,-62,-94,12
32767,32767,-13270,-57,-97,27
32767,32767,-13502,-105,-100,0
32767,32767,-13758,-174,-72,-35
32767,32767,-13850,-187,-27,-59
32767,32767,-13378,-16,12,-38
32767,32767,-12774,95,-8,22
32767,32767,-12810,-37,-38,18
32767,32767,-13150,-211,-72,-12
32767,32767,-13452,-243,-49,-34
32767,32767,-13394,-62,-14,-19
32767,32767,-13008,-69,-35,-51
32767,32767,-13060,-238,-67,-58
32767,32767,-13110,-340,-73,-63
32767,32767,-12996,-222,-66,-10
32767,32767,-12774,102,-25,47
32767,32767,-12812,281,-6,35
32767,32767,-13022,165,-44,-13
32767,32767,-13230,-230,-95,-68
32767,32767,-13358,-339,-107,-63
32767,32767,-13328,-193,-69,-17
32767,32767,-13150,54,-18,30
32767,32767,-13008,184,4,20
32767,32767,-12790,45,-23,-32
32767,32767,-12880,-189,-72,-55
32767,32767,-12948,-292,-101,-39
32767,32767,-12974,-112,-67,3
32767,32767,-13032,88,-37,27
32767,32767,-12998,191,-27,20
32767,32767,-12864,94,-49,-5
32767,32767,-12916,-110,-80,-22
32767,32767,-13042,-196,-98,-16
32767,32767,-13266,-159,-77,-7
32767,32767,-13304,-60,-43,-2
32767,32767,-13178,51,1,-5
32767,32767,-13062,-8,5,-29
32767,32767,-12922,-139,-20,-55
32767,32767,-12810,-247,-45,-56
32767,32767,-12732,-191,-49,-23
32767,32767,-12634,-41,-36,6
32767,32767,-12664,106,-40,33
32767,32767,-12720,118,-57,42
32767,32767,-12922,-70,-78,-6
32767,32767,-13254,-170,-73,-35
32767,32767,-13206,-86,-34,-20
32767,32767,-12984,40,-1,-11
32767,32767,-12810,122,-2,5
32767,32767,-12748,48,-33,10
32767,32767,-12798,-131,-70,-13
32767,32767,-12942,-238,-73,-34
32767,32767,-12932,-119,-24,-28
32767,32767,-12866,68,1,3
32767,32767,-12620,159,-8,41
32767,32767,-12582,60,-43,36
32767,32767,-12668,-87,-80,-1
32767,32767,-12926,-146,-92,-12
32767,32767,-12992,-65,-81,10
32767,32767,-13018,82,-46,37
32767,32767,-13048,94,-24,33
32767,32767,-12940,-1,-29,-2
32767,32767,-12840,-137,-54,-36
32767,32767,-12902,-185,-74,-35
32767,32767,-12838,-103,-71,-16
32767,32767,-12898,12,-51,-5
32767,32767,-12964,97,-36,6
32767,32767,-12920,31,-35,2
32767,32767,-12972,-69,-59,-12
32767,32767,-12956,-153,-72,-28
32767,32767,-12994,-92,-58,-15
32767,32767,-12862,51,-28,20
32767,32767,-12814,116,-8,19
32767,32767,-12758,56,-33,-3
32767,32767,-12770,-51,-71,-24
32767,32767,-12982,-117,-93,-13
32767,32767,-13190,-5,-64,7
32767,32767,-13244,71,-36,20
32767,32767,-13064,62,-12,7
32767,32767,-12894,-15,-19,-14
32767,32767,-12684,-115,-61,-26
32767,32767,-12624,-141,-92,-7
32767,32767,-12840,-67,-89,26
32767,32767,-12984,36,-89,39
32767,32767,-13096,69,-65,31
32767,32767,-12970,7,-55,11
32767,32767,-12904,-101,-72,-19
32767,32767,-12898,-157,-66,-31
32767,32767,-13044,-81,-43,-28
32767,32767,-12988,37,-22,-8
32767,32767,-12858,99,-20,18
32767,32767,-12716,27,-31,8
32767,32767,-12738,-87,-46,-12
32767,32767,-12900,-127,-47,-27
32767,32767,-12896,-79,-44,-36
32767,32767,-12842,30,-43,-9
32767,32767,-12782,22,-58,2
32767,32767,-12734,-24,-61,0
