a1x,a1y,a1z,g1x,g1y,g1z,a2x,a2y,a2z,g2x,g2y,g2z,a3x,a3y,a3z,g3x,g3y,g3z,a4x,a4y,a4z,g4x,g4y,g4z
5440,22320,-8718,18,149,-29,1160,32767,-8858,-8,-64,-15,8208,4840,-9566,-58,46,12,24438,17224,1222,-44,-45,-10
5042,22218,-8626,-84,-89,-9,1328,32767,-8638,3,-79,-14,8238,4910,-9518,-39,30,21,24470,17140,1216,-57,-46,-8
6722,21850,-9106,-85,-119,13,1112,32767,-8566,-36,-66,-10,8386,5080,-9534,-29,20,27,24554,17054,1182,-52,-47,-8
6106,22194,-8940,-65,141,2,884,32767,-8654,8,-91,2,8416,5094,-9518,-53,18,17,24630,17076,1172,-43,-43,-10
5158,22006,-8878,-47,71,13,1570,32767,-8896,46,-98,20,8220,5092,-9466,-62,24,11,24594,17188,1160,-37,-40,-7
5626,22008,-8972,-58,-40,23,1120,32767,-8872,22,-53,9,8244,4986,-9518,-84,36,2,24562,17166,1110,-52,-37,-5
5500,22102,-8748,-39,28,0,1202,32767,-9124,25,-60,-4,8196,4802,-9510,-84,36,-1,24524,16938,1056,-56,-36,-1
4992,22416,-8636,-29,16,-4,1050,32767,-8762,20,-47,-7,8298,4790,-9686,-72,29,9,24544,16978,962,-45,-46,3
5344,21716,-8628,-93,-95,5,580,32767,-8812,-16,-38,-8,8342,4622,-9650,-54,28,9,24458,16994,1162,-33,-49,9
5972,21544,-8540,-36,-50,17,850,32767,-8842,12,-88,-7,8254,4828,-9434,-28,8,17,24430,17250,1276,-36,-53,10
6422,21008,-8668,10,-65,2,1192,32767,-8750,4,-59,-1,8428,5032,-9566,-21,6,23,24536,17068,1228,-56,-50,5
6714,22124,-8782,78,68,-16,1132,32767,-8770,4,-34,-10,8486,5062,-9760,-37,33,13,24590,16962,1094,-52,-44,3
5198,22506,-8542,63,206,-18,1022,32767,-8702,-12,-21,-28,8378,5096,-9740,-51,43,10,24592,16900,1036,-49,-34,-1
4632,22668,-8266,-69,33,3,838,32767,-8448,-27,-33,-33,8362,4932,-9830,-64,41,8,24594,16890,1012,-27,-30,0
5960,22016,-8782,-120,-131,24,998,32767,-8686,14,-70,-27,8232,4944,-9654,-53,41,8,24562,17094,1124,-14,-33,2
6496,21356,-9078,-94,-16,25,1332,32767,-8860,-4,-73,-29,8432,5052,-9630,-50,35,13,24490,17146,1292,-25,-29,-2
5512,22100,-8890,-4,106,19,780,32767,-8902,-7,-37,-29,8306,4778,-9284,-74,40,5,24472,17080,1194,-36,-13,-5
5230,22574,-8512,21,-23,15,350,32767,-8762,25,-86,-15,8216,4790,-9384,-50,20,7,24360,17018,1040,-29,-18,-9
5898,22026,-8650,-50,-74,18,902,32767,-8558,34,-128,-9,8356,4612,-9454,-51,21,1,24490,17050,1030,-19,-41,-11
6044,22208,-8718,-31,-21,6,804,32767,-8406,19,-105,3,8202,4642,-9560,-34,22,-10,24504,17164,1062,-2,-49,-8
5890,21808,-8704,-22,7,0,1032,32767,-8654,81,-120,21,8248,4568,-9634,-25,20,-15,24436,17314,1222,-16,-42,-9
6002,21550,-9034,-12,17,2,1222,32767,-8822,43,-90,3,8164,4648,-9478,-21,13,-23,24346,17288,1166,-35,-35,-11
5656,22164,-8838,47,85,-4,932,32767,-8740,23,-59,-9,8070,4820,-9516,19,3,-12,24392,17058,1156,-51,-55,-17
4726,22546,-8530,-23,120,8,818,32767,-8992,38,-56,-10,8308,5218,-9522,25,-6,-4,24540,16892,1068,-49,-60,-31
5068,22078,-8664,-70,-53,35,998,32767,-8854,-7,-62,-15,8444,5180,-9564,-12,4,-5,24542,16822,1014,-32,-46,-40
6300,21246,-8844,-115,-19,29,1194,32767,-8878,-62,-53,-34,8436,4888,-9498,-50,20,-11,24514,16854,902,-4,-43,-39
5966,21622,-9010,-34,99,5,1372,32767,-8746,-48,-58,-39,8412,4718,-9620,-43,20,-12,24426,17152,1070,16,-56,-39
5186,22070,-8854,-46,151,-14,1404,32767,-8456,-19,-46,-36,8244,4766,-9502,-26,9,-7,24472,17326,1094,-6,-65,-40
4988,21982,-8996,-88,51,-11,1176,32767,-8778,3,-36,-21,8388,5030,-9400,-10,-32,3,24462,17166,1030,-34,-60,-38
5302,21750,-8900,-122,2,-11,1126,32767,-9016,0,-83,-23,8654,4888,-9490,-29,-1,-3,24392,16930,1148,-35,-56,-36
5418,21706,-8800,-98,-9,-21,1238,32767,-8712,1,-93,-21,8464,4890,-9636,-34,34,-12,24486,16862,1252,-22,-51,-38
5526,21726,-8730,-86,-21,-17,1086,32767,-8474,26,-92,-2,8372,4526,-9814,-55,43,-21,24468,16844,1136,-6,-47,-38
5768,21484,-8694,-65,-30,-21,1234,32767,-8522,36,-108,9,7976,4472,-9580,-27,38,-18,24560,17058,1056,7,-59,-39
6128,21508,-8578,-5,-17,-24,1378,32767,-8530,28,-84,3,8090,4922,-9282,50,-26,19,24588,17170,1022,-1,-49,-30
5898,22040,-8630,41,88,-24,982,32767,-8606,27,-58,6,8462,5196,-9364,45,-9,17,24510,17118,1014,-15,-50,-25
5168,22344,-8604,18,87,-14,1392,32767,-9116,55,-75,5,8506,5362,-9332,-4,19,0,24528,16992,1194,-20,-51,-22
5076,22466,-8434,-16,-22,-2,1186,32767,-8626,7,-56,-11,8506,4974,-9552,-55,26,-4,24578,16946,1174,-11,-35,-22
5206,22690,-8550,-79,-51,-1,994,32767,-8772,-38,-61,-15,8304,4590,-9720,-53,29,-3,24426,17000,1266,-3,-12,-24
5738,21576,-8654,-114,-126,8,1238,32767,-8626,38,-85,5,8212,4556,-9394,-13,-2,7,24408,17076,1078,2,-24,-25
6706,21468,-8880,-69,-101,5,1048,32767,-8530,9,-62,7,8552,4828,-9398,26,-23,25,24544,17234,1006,14,-50,-25
6746,21678,-8888,22,72,-13,1046,32767,-8574,44,-71,17,8642,5032,-9412,21,1,27,24602,17212,1082,-14,-47,-21
5808,22162,-8842,66,172,-16,1308,32767,-8778,44,-71,17,8530,5016,-9772,-27,40,14,24502,17114,1004,-28,-34,-16
5302,22344,-8878,-8,102,-1,1162,32767,-8910,6,-56,2,8370,4684,-9680,-52,53,2,24444,17036,1028,-28,-46,-12
5558,22498,-8756,-40,53,8,918,32767,-8444,-57,-68,-23,8140,4582,-9510,-6,41,8,24548,17108,1006,-19,-68,-9
5166,22640,-8828,-102,89,5,1172,32767,-8460,-47,-83,-22,8136,4974,-9198,48,11,25,24612,17134,1082,-28,-72,-12
5254,21758,-9032,-143,-34,20,1010,32767,-8270,54,-99,2,8494,5342,-9190,42,-10,34,24612,16968,986,-44,-50,-19
6042,21508,-9196,-144,-64,20,1652,32767,-8980,60,-94,-5,8566,5522,-9354,5,19,27,24412,16916,1110,-30,-36,-21
6442,21348,-8978,-52,2,6,1222,32767,-8474,40,-50,-13,8474,5114,-9618,-72,60,1,24304,16918,1242,-25,-42,-20
