ax,ay,az,gx,gy,gz,ax,ay,az,gx,gy,gz
32767,20710,6048,73,-104,15,24152,5392,5176,-18,15,10
32767,20948,5628,63,-84,23,24200,5528,5118,-23,16,-8
32767,20898,5750,-32,-39,12,24230,5444,5136,-35,21,-3
32767,20500,6098,-122,-12,-11,24372,5206,5124,-40,35,-2
32767,20010,6406,-83,-19,-29,24172,5222,5276,-41,42,8
32767,20206,6516,13,-51,-6,24034,5174,5268,-29,25,8
32767,20618,6396,58,-83,1,24004,5292,5208,-14,10,-7
32767,20838,6192,22,-95,-6,24178,5332,5260,-16,4,-7
32767,20738,5874,-29,-93,-10,24262,5370,5180,-28,18,-1
32767,20574,5984,-51,-78,-19,24278,5266,5246,-34,25,13
32767,20552,5974,-35,-52,-17,24142,5260,5192,-41,33,8
32767,20718,5930,-12,-30,9,24052,5156,5162,-35,22,12
32767,20748,6052,-37,-9,15,24154,5132,5176,-28,4,-7
32767,20472,6414,-63,-20,3,24088,5284,5222,-20,-8,-5
32767,20228,6540,-40,-57,-13,24258,5300,5238,-18,-5,1
32767,20432,6380,15,-96,-12,24418,5404,5184,-22,11,3
32767,20952,5832,-17,-88,-1,24326,5254,5224,-31,24,24
32767,20550,5728,-86,-26,7,24188,5156,5206,-16,19,15
32767,20094,5976,-79,11,4,24256,5420,5252,-10,14,6
32767,20034,6606,-50,-11,-9,24370,5442,5262,-14,13,17
32767,20012,6766,-24,-69,-22,24324,5410,5266,-26,19,14
32767,20206,6328,28,-125,-30,24232,5242,5194,-46,16,16
32767,20844,5712,61,-129,-27,24192,5174,5286,-44,14,9
32767,21252,5324,35,-73,-17,24028,5178,5204,-38,10,14
32767,21272,5726,-62,30,3,24082,5194,5194,-29,2,9
32767,20744,6536,-144,51,-12,24122,5146,5188,-29,2,8
32767,20330,6940,-121,2,-17,24378,5042,5236,-20,-1,6
32767,20324,6674,-41,-80,11,24434,5200,5324,-22,13,5
32767,20580,6050,9,-125,32,24256,5240,5256,-22,16,32
32767,20670,5482,-17,-103,29,24302,5340,5202,-10,15,29
32767,20584,5660,-98,-52,2,24328,5460,5156,5,16,9
32767,20226,6156,-144,1,-26,24442,5722,5260,4,27,13
32767,20022,6750,-74,-18,-16,24280,5694,5326,-34,36,10
32767,20208,6684,22,-79,3,24056,5304,5312,-61,36,26
32767,20304,6336,66,-131,10,23984,5030,5208,-62,21,30
32767,20442,6156,71,-160,1,24102,5072,5208,-48,13,14
32767,20852,5720,18,-138,-32,24280,5170,5042,-30,11,15
32767,20888,5460,-49,-73,-29,24430,5284,5208,-21,24,15
32767,20630,5512,-61,6,-6,24184,5354,5230,-46,35,24
32767,20456,6060,-24,47,5,24160,5138,5268,-43,20,15
32767,20594,6962,-4,-13,1,24186,5100,5366,-30,8,0
32767,20786,6958,-30,-101,-28,24452,5024,5128,-11,-2,-5
32767,20666,6296,-53,-153,-22,24510,5242,5190,6,13,-2
32767,20496,5552,-17,-132,11,24292,5452,5152,-12,20,13
32767,20396,5010,31,-48,46,24076,5296,5166,-25,21,21
32767,20298,5670,3,29,39,24106,5298,5150,-11,13,10
32767,20246,6422,-55,65,-26,24430,5450,5120,3,17,9
32767,20372,6926,-114,18,-73,24474,5582,5474,-3,25,6
32767,20424,6614,-55,-70,-34,24328,5492,5394,-40,29,6
32767,20716,6088,19,-96,2,24216,5228,5198,-51,13,2
32767,20968,5668,35,-65,18,24202,5178,5088,-42,9,-11
32767,20832,5896,-15,-26,15,24320,5182,4970,-27,8,-2
32767,20676,6280,-47,-4,-6,24474,5290,5168,-11,23,-4
32767,20530,6624,-71,-33,-7,24506,5306,5288,-38,44,-5
32767,20374,6450,-54,-77,-11,24194,4802,5204,-37,47,13
32767,20428,5914,-31,-104,5,24010,5150,5280,-13,43,10
32767,20186,5626,-18,-73,12,24102,5566,5180,-10,23,20
32767,20240,5948,-19,-38,-14,24142,5608,5124,-13,12,21
32767,20348,6174,-19,-8,-37,24326,5544,5270,-3,-1,15
32767,20520,6370,-30,-18,-31,24390,5606,5320,-23,1,-1
32767,20734,6322,-31,-34,-26,24346,5378,5332,-34,-2,-7
32767,20786,6392,-55,-56,-23,24298,5138,5158,-54,4,-9
32767,20610,6266,-52,-71,-16,24406,5156,5062,-35,8,4
32767,20424,6294,-22,-96,-12,24460,5178,5204,-29,22,14
32767,20742,5972,22,-91,-9,24444,5132,5240,-16,28,10
32767,20882,5606,-4,-63,15,24210,5140,5238,-22,32,2
32767,20576,5524,-52,-6,20,24150,5222,5240,-18,19,10
32767,20196,6040,-80,32,-4,24202,5374,5172,-21,15,6
32767,20058,6624,-51,15,-22,24342,5394,5234,-12,8,13
32767,20232,6868,-2,-40,-16,24360,5522,5238,-19,13,8
32767,20578,6528,13,-97,-5,24206,5404,5270,-21,10,1
32767,20610,5920,-14,-106,-3,24152,5380,5236,-40,5,-8
32767,20456,5722,-28,-66,-6,24402,5246,5150,-41,2,-3
32767,20326,5942,-24,-22,-28,24408,5256,5154,-34,15,5
32767,20680,6154,8,-1,-18,24382,5200,5124,-21,21,0
32767,20744,6320,10,-6,13,24324,5268,5314,-29,35,-8
32767,20734,6316,17,-30,13,24168,5066,5246,-37,32,9
