A1x,A1y,A1z,G1x,G1y,G1z,A2x,A2y,A2z,G2x,G2y,G2z,A3x,A3y,A3z,G3x,G3y,G3z,A4x,A4y,A4z,G4x,G4y,G4z,A5x,A5y,A5z,G5x,G5y,G5z,A6x,A6y,A6z,G6x,G6y,G6z
4720,-3836,17484,-373,1512,2465,-16612,-524,-4884,-1944,1433,940,-16996,1640,-160,-270,2869,3111,-1504,-17828,-1052,-5120,-241,5165,956,-15360,6172,-5313,1321,5267,-15824,-3116,-580,-2090,62,938
6332,-7276,15276,374,1483,2273,-17360,-2964,-3272,-2396,671,1028,-17908,928,504,-698,1952,2747,-1220,-17748,-564,-4484,-439,4682,1612,-15264,6488,-5440,1575,4781,-15336,-3708,-716,-2407,651,484
7368,-5372,16236,-252,1133,644,-17148,-2784,-4800,-233,694,639,-17576,648,432,493,1769,2234,-1256,-18012,-312,-4357,287,4131,1368,-15716,6328,-5618,1317,4407,-15996,-3728,-228,-2003,388,446
7364,-6164,17292,480,130,1785,-18124,-2556,-4556,-1986,221,-215,-18688,1520,576,-680,1639,1654,-2056,-18740,-1428,-4343,86,3394,416,-17100,5692,-5513,941,3600,-14948,-3792,-1464,-508,-410,374
7272,-8028,14996,299,-136,112,-17824,-4052,-3440,-448,-259,-262,-18528,-452,1660,-110,645,1016,-1292,-18320,-444,-3283,191,2874,1164,-15928,4800,-3332,691,2768,-14236,-4684,-1396,-1092,619,-5
5904,-4824,15940,183,336,-174,-16192,-1740,-4284,150,54,-386,-16228,1952,428,452,407,700,-1208,-16640,-1160,-2054,371,2349,1172,-15180,5572,-2893,883,2401,-15804,-3788,-64,-873,605,-96
5100,-5588,15456,192,-168,-313,-16412,-1348,-4592,91,-354,-548,-16512,1592,636,416,502,693,-2224,-16928,-1072,-3350,722,1961,92,-15884,5304,-4523,899,2118,-15840,-3836,-696,-930,-48,-221
3476,-4640,13952,533,-77,1072,-15460,-304,-3820,-1387,-43,-176,-15548,1816,740,19,681,720,-2284,-16196,-664,-2648,288,2334,136,-16008,5148,-3247,825,2284,-15196,-3940,-1076,-492,1422,-891
3680,-7100,14060,150,951,-839,-15380,-864,-3264,593,-291,465,-15284,1312,168,715,112,1139,-2000,-15480,-2200,-2542,692,2465,348,-15432,4008,-3364,1026,2365,-16092,-4212,-1404,-410,1409,-811
2256,-2488,15608,609,1100,-674,-15236,1440,-4220,540,-128,815,-14824,2820,512,1094,177,1726,-2792,-16152,-1412,-2725,1137,2772,-320,-16068,5212,-4124,1650,2711,-16280,-3940,-1100,-740,-33,-413
2564,-5344,14496,857,1188,19,-15476,128,-3256,-344,-618,1290,-15468,2700,180,726,195,2190,-3200,-16068,-1928,-2167,879,3554,-1104,-16056,4844,-2841,1635,2994,-15980,-3900,-776,-294,-835,53
2904,-3524,14264,1018,1977,-895,-14868,860,-3144,621,-636,1725,-14692,3112,956,1479,-414,2549,-3832,-14888,-1344,-1035,1197,3976,-1412,-14920,4144,-1912,1804,3186,-14876,-3404,-1172,410,-538,189
3680,-5508,14700,1207,1620,-532,-15476,-340,-3180,236,-691,1676,-14680,3664,1416,990,-227,2490,-4060,-14844,-1424,-1886,832,3945,-1692,-14760,4440,-2691,1769,3415,-15236,-3200,-952,211,869,102
4484,-4792,15044,688,1669,-1026,-15004,-628,-3616,782,-362,1402,-14968,3844,624,975,305,2412,-4764,-15168,-1424,-2488,667,3855,-2536,-14960,4724,-2886,1447,3666,-16036,-2904,-1164,-179,-47,565
3968,-3628,14460,1006,1358,605,-14624,-48,-3084,-991,-423,852,-14356,4120,836,366,316,1869,-5036,-14500,-1744,-2946,367,4109,-2480,-15192,3892,-3214,901,4100,-15472,-3036,-780,-247,-486,369
3860,-3908,16448,860,727,492,-15840,-12,-3448,-724,-459,332,-15564,3836,400,56,412,1739,-5100,-15824,-2500,-3061,151,4143,-2884,-15508,3716,-2302,904,4046,-15112,-3348,-1376,287,-383,291
3604,-4588,13932,969,201,433,-14736,-256,-2512,-939,-634,230,-15120,3376,924,-204,104,1687,-5148,-14944,-2132,-2278,-161,4145,-2740,-15144,4096,-2737,825,4179,-15700,-3308,-1240,-611,-218,692
3540,-4224,14396,547,1023,-1281,-15300,-172,-3152,993,-633,391,-14868,3792,-272,896,-295,1539,-4504,-14856,-2940,-2248,135,4544,-2300,-14976,3412,-2976,729,4584,-15628,-3520,-760,-838,-1096,789
2884,-2068,15648,1748,125,793,-15900,1212,-3964,-1275,-931,21,-15372,4444,612,275,22,1667,-5672,-15332,-2724,-2748,591,4529,-3336,-15388,3132,-2723,1062,4508,-15072,-3440,-1068,158,-1307,377
2764,-6300,14044,1120,408,255,-15040,-740,-2652,-921,-870,477,-15044,2764,1024,-257,-134,1797,-5604,-14948,-2596,-2875,-379,4522,-3272,-15832,3172,-2793,638,4584,-14872,-3992,-1188,-346,-63,91
4344,-4692,14348,665,1472,-1373,-15824,-448,-3036,1000,-667,857,-15452,3784,-176,956,-330,1886,-4948,-15288,-3344,-2148,57,4833,-2916,-14944,2376,-2228,570,4656,-15540,-3664,-712,-471,-463,274
3360,-3744,16268,1274,770,-543,-16508,860,-3892,95,-1015,778,-15764,3868,328,803,-500,1965,-6116,-15332,-3544,-2158,576,4660,-3928,-15728,2948,-2525,1062,4378,-14572,-3700,-1060,455,-716,100
2672,-4856,14488,1108,1199,-539,-15616,228,-3664,44,-824,1269,-15660,3680,276,605,-361,2061,-6412,-15140,-3296,-2336,-98,4563,-4216,-15756,2864,-2284,787,4266,-15188,-3632,-852,-131,340,-80
3152,-6688,15124,1100,1637,-1619,-15804,-764,-3236,1140,-848,1490,-15808,3680,-324,1452,-554,2166,-6032,-14376,-4484,-1784,363,4772,-4032,-14456,2556,-2119,1172,4359,-15604,-3784,-828,-268,130,-121
3704,-1256,16976,986,1269,-727,-15220,600,-3988,274,-585,975,-14540,5268,1104,1259,-506,1804,-7856,-14744,-2648,-1811,1206,4659,-5588,-15720,2936,-2106,1628,4471,-15788,-3928,-840,-263,361,-61
4544,-5512,14716,1075,204,416,-15348,-856,-2068,-1050,-917,304,-15044,4784,52,159,-149,1254,-7676,-14008,-3872,-1977,81,5090,-5488,-15392,2716,-1369,840,4697,-15776,-3660,-628,7,1175,103
3836,-5668,14644,624,617,-1580,-15416,-692,-2356,1174,-921,233,-15212,4008,36,1353,-765,976,-7132,-13532,-3916,-1501,449,5317,-5384,-13620,3056,-1604,1630,4897,-15332,-3788,-820,111,782,461
3160,-2844,15700,276,852,-2632,-15668,800,-3064,2097,-917,342,-14568,5720,228,2431,-1174,902,-8220,-13424,-3612,-1474,1408,5396,-6332,-14916,1424,-2307,1548,5409,-15540,-3720,-572,167,696,587
2524,-1560,18008,1454,-245,35,-16908,2044,-3300,-485,-1205,-270,-15384,6684,-92,973,-320,885,-9084,-14864,-4476,-2115,692,5536,-6964,-16116,2964,-1210,1599,5101,-15624,-3360,-512,720,679,969
1860,-5984,15092,1440,76,-723,-16832,348,-2856,-83,-1453,185,-16560,3852,1456,464,-621,1350,-8924,-14792,-3640,-1072,347,5560,-7284,-14052,2960,-934,1751,4742,-15668,-2944,-864,164,411,1096
3568,-6800,16620,295,2043,-2408,-16600,-128,-2488,2171,-705,869,-15964,4076,152,2593,-948,1240,-8556,-13148,-4032,-448,881,5169,-6880,-14276,2152,-1428,1434,4800,-15224,-3092,-640,-212,305,704
3120,-688,18156,695,1233,-1561,-16972,1768,-3496,1267,-639,959,-15468,6972,1024,2326,-886,1276,-9684,-14260,-3964,-1477,1083,4706,-7744,-14884,2204,-1529,1428,4392,-15352,-3512,-1396,-55,735,862
3004,-3500,15504,1243,450,871,-16284,460,-2432,-1347,-764,625,-15236,5124,820,-358,309,1557,-9464,-12988,-2992,-1150,-137,4726,-7440,-14064,3368,-1207,631,4275,-15444,-3608,-780,-234,828,883
3324,-5260,14292,574,1442,-1083,-16048,-348,-1992,537,-500,1176,-15552,3880,828,775,-226,1729,-8676,-12984,-4632,-1942,-168,4490,-6940,-13172,1980,-1502,529,4330,-15108,-3624,-788,-26,154,674
2484,-1296,16688,623,1035,-890,-16072,1360,-2936,427,-331,1211,-14680,5984,1008,1139,-186,1853,-9596,-12804,-3708,-1053,852,4379,-7812,-14084,2028,-1839,686,4271,-14912,-3376,-1056,182,592,591
2876,-2760,15788,1091,683,649,-15836,1028,-2344,-1161,-502,1026,-14700,5788,744,24,441,1832,-10076,-12932,-4240,-1518,-175,4672,-8156,-14588,2024,-677,542,4258,-15700,-3972,-1480,26,1326,600
2752,-4836,16916,1215,704,53,-16548,908,-2340,-539,-644,1016,-15440,6020,-108,31,641,2233,-10304,-12440,-5400,-1504,207,5130,-8652,-13716,1852,-418,963,4443,-16208,-3392,-1028,-4,485,705
1552,-3700,15808,983,915,-195,-16260,1708,-2776,-456,-593,1299,-14924,6008,748,194,61,2306,-11444,-12372,-3988,-380,728,5364,-9512,-13444,2192,-816,1238,4608,-16356,-3072,-1144,-147,868,326
928,-3140,15432,643,2005,-428,-16432,2220,-2252,29,-212,2055,-14804,5972,596,630,34,2558,-10352,-11904,-4192,-477,83,5303,-8660,-12776,1992,-361,778,4634,-15216,-3408,-1124,-32,1041,38
600,-1568,17140,1127,2382,-115,-17060,3168,-2272,-184,-303,2645,-14980,6900,408,710,490,3385,-10820,-11824,-5168,-837,343,5291,-9328,-13064,1168,109,1128,4570,-15012,-3208,-1416,317,818,525
972,-2912,17336,1423,2387,551,-17504,2936,-2700,-886,-512,3254,-15860,7036,644,134,384,3868,-12224,-11856,-4616,-623,231,5167,-10492,-12552,2136,544,1317,4109,-15484,-2720,-1388,602,992,1081
952,-3932,15552,1196,3232,305,-16036,1852,-2472,-610,-71,3859,-14548,6860,668,319,235,4020,-12020,-11252,-3516,102,-17,5122,-10392,-11748,2876,111,1166,4126,-16460,-2640,-1308,344,708,896
1560,-2684,15884,537,3914,-595,-16032,2340,-2748,482,453,4065,-14460,7596,256,1249,390,4144,-12172,-10832,-4804,-577,405,5042,-10460,-12104,1828,-176,843,4319,-15872,-2816,-1364,249,487,679
1004,-1732,17824,1180,3156,1046,-16296,3288,-2696,-1176,272,3739,-14004,8988,192,85,721,3922,-12836,-9220,-4240,-958,252,5019,-11156,-11576,2272,-1111,626,4576,-16056,-2936,-1528,59,945,901
1356,-3204,16196,952,2307,1416,-16200,2196,-1840,-1729,266,3342,-14304,7756,508,-801,1076,3717,-12820,-10148,-3812,-2398,-816,4905,-11228,-11416,2240,-839,236,4816,-16084,-2920,-1416,87,209,1266
2112,-4348,15152,543,3252,-196,-16508,1660,-1860,15,377,3525,-15224,6888,320,531,730,3764,-12068,-10848,-4928,-1617,-194,4963,-11012,-11512,2404,-1115,178,4835,-15332,-2040,-1244,254,-446,1704
884,-1192,17764,721,2658,198,-16060,3108,-2316,-352,560,3564,-13900,8244,508,734,549,3646,-12540,-9784,-4368,-889,-99,4773,-10968,-11252,1436,-650,212,4442,-15312,-2300,-1352,669,-474,1817
1224,-2184,17564,875,2596,1569,-15724,3564,-2108,-1640,397,3339,-13404,8972,348,-412,1056,3652,-12748,-9320,-4280,-1081,-689,4734,-11096,-11020,1784,439,229,4347,-15316,-2508,-1072,890,-204,1496
1208,-2956,16284,910,2402,1230,-15824,3216,-1836,-1291,355,3211,-13652,8312,-48,-444,1111,3790,-13140,-9100,-4724,-951,-412,4890,-11624,-10460,2716,-86,377,4396,-15596,-2428,-1228,1264,-265,1265
1036,-2872,16168,1133,2420,875,-16368,3360,-2188,-900,177,3371,-14356,8052,16,64,636,3748,-13056,-9068,-4904,-1477,-243,4648,-11680,-9968,1700,-658,101,4262,-15648,-1992,-1168,1344,-756,1072
968,-4020,16800,999,2955,498,-16168,3004,-2580,-429,202,3524,-14156,8296,-124,422,446,3657,-13084,-8848,-5064,-1500,-39,4160,-12088,-9812,1324,-997,257,3951,-15256,-1812,-1328,1028,-588,1086
700,-2240,16120,634,2110,434,-15916,3676,-2996,-350,561,3467,-13772,8908,432,286,722,3609,-13668,-9024,-4452,-1420,-201,3767,-12280,-10456,2088,-1436,476,3773,-15340,-1796,-1504,214,223,776
1136,-2372,16132,644,2089,1636,-15796,3700,-2572,-1625,567,3039,-13544,9436,-308,-561,1156,3349,-13548,-8396,-4116,-1682,-307,3808,-12200,-10360,2464,-1746,28,3831,-15944,-2504,-1020,-96,-527,731
872,-2224,15924,616,1727,2048,-15464,3712,-2564,-1908,707,2728,-13024,9536,96,-816,1360,3106,-13756,-8232,-4440,-2504,-352,3680,-12436,-10028,1972,-1287,-269,3724,-15688,-2312,-972,253,-815,851
1048,-2804,17032,466,1191,2475,-15492,3880,-2348,-2415,776,2243,-13288,9360,68,-1391,1600,2818,-13776,-7572,-4620,-2672,-686,3561,-12556,-9116,1696,-1301,-630,3593,-15764,-2260,-904,204,165,1254
