A1x,A1y,A1z,G1x,G1y,G1z,A2x,A2y,A2z,G2x,G2y,G2z,A3x,A3y,A3z,G3x,G3y,G3z,A4x,A4y,A4z,G4x,G4y,G4z,A5x,A5y,A5z,G5x,G5y,G5z,A6x,A6y,A6z,G6x,G6y,G6z
-11816,1144,7736,-11371,13885,-12348,-13996,-3516,-3364,318,-3991,-9413,-12036,-10396,360,2161,-1620,-6500,-15568,-4056,-100,1679,-503,9058,-15736,4588,-2032,1368,-2497,9704,-14800,-4388,15960,1635,1044,569
-14748,-1776,25268,-12984,5183,-10660,-12068,-7748,-2292,208,-2084,-7447,-9792,-13456,-1324,-1620,-3116,-5356,-16604,-4184,-304,992,2555,8419,-15540,4224,-1272,-421,-1899,10386,-14820,-4084,16436,1604,1328,1131
-7896,-1384,18884,1781,-17401,-9219,-10796,-4552,-1400,2478,-955,-1589,-8600,-13112,708,2499,876,-1274,-16820,-4104,880,182,2404,8804,-16408,4584,-2256,-1323,-1078,9807,-15768,-3820,15644,1653,826,1297
-1164,4876,6864,5835,-18563,-6143,-9432,3696,-1252,1742,-394,3869,-8892,-10856,3640,2981,1241,4593,-17152,-3808,2956,232,3181,8925,-16320,4804,-2972,-2298,127,8868,-16676,-3228,15648,779,31,1074
-5360,1276,14688,4180,-17598,960,-9852,-380,1120,-1505,2721,8507,-8944,-11372,3848,428,1578,9260,-16628,-3380,1996,-2144,3452,8641,-16736,4968,-2156,-1938,-532,7728,-16204,-2380,15388,263,-1176,182
-3868,40,12176,14944,-23202,7904,-13220,1528,884,-3540,4545,13546,-10568,-10424,2712,-1703,2470,11953,-16928,-2416,1668,-3428,3492,8747,-15824,4432,-2232,-1191,629,5867,-15188,-3608,15260,-642,-2298,-790
-4472,-2396,13404,10751,-20181,9739,-13112,684,-184,-6759,5621,17036,-9832,-8836,4080,-3074,2921,16726,-16148,-3280,2276,-3509,2187,9315,-15252,4336,-2344,-1482,938,5180,-14652,-4748,15036,-1405,-2327,-460
-6880,-4640,17796,15357,-24052,7760,-16820,-2108,-100,-5518,6279,20929,-11448,-11824,904,-3158,3351,19800,-15344,-2848,1380,-2046,2317,8362,-13904,4820,-2856,-2057,227,4111,-14068,-4372,15564,-660,-2452,-279
-8016,-1224,16940,11857,-23760,6152,-17476,-980,-840,-3574,5372,23544,-11816,-8452,2816,1066,3782,22620,-15232,-1892,2488,-1909,2505,7758,-14296,5216,-2748,-1879,-259,2944,-14220,-3624,15888,-676,-2096,-286
-8744,-1196,16436,12605,-23089,6148,-18656,-1376,-1992,-3901,7471,24180,-12856,-7276,4800,630,5332,23243,-15288,-920,4776,-1531,769,7745,-13472,5144,-2712,-1757,-1120,1947,-14080,-2440,15360,-489,-1685,-582
