a1x,a1y,a1z,g1x,g1y,g1z,a2x,a2y,a2z,g2x,g2y,g2z,a3x,a3y,a3z,g3x,g3y,g3z,a4x,a4y,a4z,g4x,g4y,g4z
4752,20350,-18768,-51,-28,-15,2420,32689,-14012,40,-49,-4,10810,2638,-3200,-27,30,19,23492,11968,-2656,-36,-47,-14
5156,20292,-18744,-44,-13,-22,2572,32486,-14116,27,-49,-3,10790,2642,-3162,-31,31,15,23474,11732,-2554,-43,-68,-17
4780,20356,-18870,-9,17,-24,2572,32655,-13820,16,-46,0,10720,2594,-3086,-34,35,9,23678,11738,-2668,-33,-83,-13
4786,20636,-18760,-48,-11,-19,2614,32707,-13948,40,-58,11,10724,2604,-3054,-38,37,7,23800,11886,-2644,-22,-50,-7
5252,19994,-18810,-46,5,6,2846,32517,-14042,43,-63,7,10764,2502,-3144,-33,33,4,23594,11830,-2688,-35,-24,-5
4892,20528,-18862,-19,33,-12,2774,32484,-14086,21,-55,-1,10666,2526,-3140,-25,34,6,23548,11786,-2674,-32,-62,-5
4940,20440,-18722,-58,16,-29,2702,32392,-13890,11,-52,-8,10610,2690,-3194,-22,22,8,23648,11750,-2610,-43,-66,-4
5220,20186,-18850,-59,21,-37,2716,32677,-14010,5,-57,-11,10724,2636,-3118,-21,18,7,23612,11714,-2694,-46,-45,-1
5072,20508,-19016,-21,39,-39,2762,32577,-13878,8,-52,-9,10714,2676,-3104,-22,25,6,23528,11684,-2656,-42,-37,3
5194,20356,-18850,-60,33,-32,2734,32744,-14060,35,-70,-8,10704,2704,-3136,-30,31,7,23506,11652,-2582,-46,-44,-1
5218,20356,-18988,-13,60,-24,2874,32385,-13824,42,-60,-5,10700,2620,-3074,-38,29,6,23598,11618,-2630,-41,-64,-6
4808,20742,-19058,-8,58,-31,2818,32486,-14012,24,-51,-11,10630,2566,-3128,-34,25,8,23756,11542,-2762,-38,-70,-10
4860,20738,-18902,-40,34,-41,2652,32474,-13902,4,-38,-18,10768,2558,-3226,-29,22,9,23616,11632,-2650,-31,-52,-13
4904,20570,-18972,-30,43,-37,2490,32647,-13780,-6,-48,-13,10752,2564,-3114,-13,18,8,23518,11558,-2662,-38,-61,-16
4786,20852,-18926,-21,39,-26,2742,32396,-13988,6,-69,-13,10720,2734,-3110,-5,8,12,23582,11532,-2704,-22,-83,-16
4676,20690,-19044,-46,33,-14,2796,32613,-13926,12,-53,-12,10710,2676,-3186,-7,7,12,23716,11714,-2730,-12,-72,-17
4470,21044,-18924,-43,10,-8,2774,32714,-14006,23,-45,-16,10618,2770,-3058,-7,17,10,23578,11632,-2614,-19,-52,-21
4598,20590,-18832,-84,-22,-7,2772,32650,-13928,21,-36,-21,10638,2798,-3002,-22,10,10,23558,11570,-2660,-9,-62,-22
4688,20646,-18868,-53,-18,3,2596,32440,-13872,15,-34,-21,10738,2704,-2970,-33,6,8,23664,11636,-2786,1,-70,-19
4564,20484,-18852,-43,-2,10,2612,32606,-13980,14,-52,-20,10690,2712,-3022,-28,5,10,23716,11686,-2772,12,-66,-18
4524,20674,-18800,-37,-1,9,2798,32422,-14052,9,-57,-19,10708,2650,-3124,-26,2,12,23806,11836,-2674,12,-57,-19
4554,20658,-18826,-44,-3,8,2684,32317,-13988,2,-40,-14,10786,2622,-3140,-26,-1,10,23758,11844,-2746,6,-34,-15
4750,20342,-18738,-71,-11,1,2664,32751,-14010,14,-51,-12,10758,2684,-3228,-24,3,9,23674,11866,-2704,-1,-30,-11
4698,20384,-18778,-41,0,-3,2698,32507,-14022,24,-46,-15,10814,2624,-3242,-20,7,6,23688,11840,-2652,-4,-37,-6
4808,20410,-18878,-60,-7,-3,2638,32515,-14082,16,-44,-9,10762,2790,-3088,-21,9,11,23706,11946,-2642,3,-47,2
4956,19996,-18894,-53,-15,-7,2586,32532,-14028,28,-49,-7,10914,2562,-3166,-45,14,1,23742,11952,-2580,-8,-42,5
5114,20168,-18752,-7,10,-5,2654,32366,-13862,30,-49,-1,10874,2480,-3170,-28,22,-4,23704,11810,-2612,-27,-24,1
5154,20266,-18788,3,26,2,2588,32634,-13890,26,-61,-1,10776,2674,-3122,-15,8,-3,23638,11738,-2602,-36,-24,-1
5254,20332,-18712,13,45,4,2678,32702,-13972,17,-56,-3,10864,2636,-3098,-18,13,-3,23642,11738,-2604,-22,-43,1
4892,20840,-18814,16,54,-1,2728,32671,-13954,22,-49,-7,10796,2644,-3138,-16,18,1,23720,11744,-2614,-23,-48,-1
4912,20570,-18722,-56,22,-12,2656,32687,-14008,14,-50,-11,10808,2758,-3050,-14,15,5,23652,11804,-2696,-22,-32,2
5194,20326,-18740,-49,26,-19,2662,32612,-13982,24,-58,-10,10874,2902,-3138,-25,17,8,23522,11800,-2510,-25,-33,1
4992,20460,-18892,-36,42,-27,2652,32479,-14048,26,-61,-10,10898,2742,-3224,-41,27,7,23536,11784,-2616,-31,-50,-2
4926,20552,-18752,-42,36,-26,2690,32550,-13946,19,-57,-15,10798,2674,-3152,-45,38,6,23632,11598,-2638,-29,-60,-5
4920,20332,-18836,-39,35,-19,2682,32380,-14032,15,-57,-19,10850,2534,-3300,-41,31,14,23670,11720,-2576,-10,-50,-5
