A1x,A1y,A1z,G1x,G1y,G1z,A2x,A2y,A2z,G2x,G2y,G2z,A3x,A3y,A3z,G3x,G3y,G3z,A4x,A4y,A4z,G4x,G4y,G4z,A5x,A5y,A5z,G5x,G5y,G5z,A6x,A6y,A6z,G6x,G6y,G6z
-8416,-340,15556,-225,79,48,-15352,1432,-5396,-920,-195,2505,-15104,3108,-4632,1219,878,2877,-14696,1144,-2072,2016,998,2763,-14664,-560,-6396,2822,957,2677,-14292,-3448,1632,1022,416,-26
-8324,-288,15384,-355,158,-142,-15116,2024,-5168,-2290,-220,2359,-15164,3740,-3860,-319,997,3282,-15200,1372,-1512,-106,816,2795,-15540,144,-6120,1351,831,2410,-15904,-2788,1088,832,233,293
-7888,-628,15152,-393,777,-141,-15744,-368,-6396,-3040,-660,2756,-15844,1560,-5180,-1439,949,3368,-15532,160,-2256,-1994,584,2328,-15644,-456,-5856,-1554,-336,1749,-16056,-3428,1532,-280,-724,337
-8360,-592,15208,-243,758,53,-15180,1648,-5904,-1417,-1027,2985,-15012,4080,-4756,-102,753,3368,-14676,1452,-2764,-1055,741,2336,-14360,-1692,-6584,-1509,121,1732,-14596,-4768,1640,-967,-871,334
-8560,-588,15160,-385,1168,-60,-15312,2424,-4876,-2214,-936,2749,-14804,5004,-4324,-1119,908,3344,-15116,2340,-2044,-1232,925,2622,-15036,-764,-6084,-1610,704,2286,-15332,-5072,896,-2228,-777,1108
-8620,-464,15148,-316,1210,-111,-15552,1848,-4940,-3131,-1130,2443,-15184,4184,-4272,-1909,882,3383,-15312,1892,-2052,-2383,413,3038,-14968,-1300,-6764,-2509,497,2759,-15112,-4568,1060,-1232,-421,1481
-8256,-848,15240,-69,1355,-20,-15444,904,-5948,-1917,-1557,3004,-15748,1192,-5436,-552,565,3607,-14980,-1548,-3868,-1077,404,2811,-14532,-2728,-6736,-1776,665,2487,-15052,-4400,2672,-403,-220,1095
-8392,-732,15140,-197,1982,215,-15440,1840,-6084,-1322,-2377,3670,-15148,3048,-5344,433,192,4071,-14732,448,-3492,1154,1339,2740,-14344,-1696,-7108,-208,1377,1907,-14880,-4004,1272,-725,929,1288
-8508,-964,15036,142,1960,624,-15032,708,-5808,916,-2646,4642,-15280,108,-5096,3022,-457,4526,-14820,-1556,-3472,2251,1386,2457,-14676,-1328,-6980,-144,1881,1756,-14764,-4572,1372,1103,1591,993
-7908,-868,14784,-16,4257,824,-16528,2840,-5184,1822,-2717,5530,-15776,4244,-4280,3613,-220,5243,-15792,248,-2488,3201,2170,2125,-15760,-1632,-6412,448,1628,814,-15536,-2868,1604,427,2421,785
-8920,-484,14584,-160,6881,449,-16680,3604,-4128,-509,-2860,5937,-15368,5488,-3124,1683,128,5826,-15980,2012,-1248,2219,1910,2092,-16364,-440,-5632,658,1260,449,-16272,-3312,184,-1096,2652,378
-9024,-604,14232,219,9014,-254,-16732,3524,-4472,-1549,-2924,6208,-15688,6032,-4272,83,343,6288,-15868,2640,-2580,-308,1597,1987,-16200,20,-6100,-504,498,457,-16172,-5232,1436,-776,1070,129
-9584,-352,13852,916,11195,-102,-16816,4504,-4848,-3022,-3109,6249,-15592,6080,-4280,-1686,650,6574,-15784,1400,-2864,-1925,1310,1723,-15892,-1376,-6680,-1573,-24,296,-15104,-4672,1948,-1375,1776,178
-10488,-484,13440,1084,12803,-152,-16272,4380,-3740,-5701,-3463,6510,-14788,5044,-3080,-4318,1114,7316,-14940,516,-1644,-3058,1052,1227,-14768,-1704,-6600,-1897,402,-62,-15356,-4004,-384,-2492,3525,473
-10892,484,12496,341,13332,-1557,-16524,5444,-1740,-8188,-4025,7551,-14344,4720,-1284,-6092,1722,8976,-14408,-1496,416,-4664,582,-8,-14440,-896,-6524,-2724,-28,-1216,-14772,-3824,160,-114,2278,-72
-11080,-148,12244,-838,13642,-4063,-17512,5008,-896,-13749,-4396,8849,-15080,6144,1888,-12160,3437,11314,-15092,-2192,3536,-8507,-778,-1795,-14792,-1016,-5628,-3926,-2048,-3192,-13880,-2268,472,-422,1999,-460
-10212,-2324,12896,1496,14861,-3294,-18140,-2168,-4512,-16482,-4052,10899,-18568,1212,-1120,-16430,4853,12382,-17160,-2872,2020,-13850,-3875,-4751,-15892,-2508,-4656,-6273,-4196,-5316,-15284,-2208,280,-1222,3296,-1136
-9068,-644,11192,1939,22650,828,-22156,-812,-6168,-8757,-4842,13819,-20040,-1768,-608,-8451,3634,14103,-16056,-11492,936,-8881,-6303,-7397,-13816,-2404,-4308,-8250,-5282,-7316,-16880,-2948,1212,544,1314,-1412
-10744,-1464,12404,1424,32767,2699,-23084,1556,-5116,-7834,-4461,16710,-20076,4504,-1832,-5644,5175,14166,-17440,-4848,1184,-4256,-5057,-8992,-14324,-836,-4260,-7670,-5731,-10086,-14284,-784,2416,820,451,-827
-21848,-2808,15416,-5286,32767,813,-23548,5268,-4728,-5277,-3847,17742,-20080,9464,-4808,-471,5266,13144,-19884,-1424,-4712,-2261,-3367,-11033,-16612,-1652,-5088,-8020,-4162,-13891,-14740,-612,2348,-1752,2166,-786
-16644,-1500,11676,-5073,32767,6481,-15472,4032,-4224,-5251,-5009,12461,-14044,12600,-7712,1671,1124,10561,-20676,3316,-6340,473,-2130,-9610,-18180,-3000,-4432,-3807,-3582,-13511,-18020,-4964,572,-1353,1510,-1516
-18832,8276,11480,-10803,30127,11103,-9644,11344,1228,-1884,-5264,10843,-7664,15884,-8440,5037,-3246,4777,-17164,6884,-5424,584,-3190,-11061,-16960,-4348,-4532,981,-3909,-12197,-17664,-6688,1444,-109,-1561,-781
-18224,-6028,32767,-7327,-16041,12931,-2992,-1188,-3768,-3967,-2018,-1684,-2800,18332,-9052,377,-659,-291,-17684,6988,-3136,1855,957,-10034,-17940,-3668,-5308,1568,-2969,-10630,-16220,-5972,1304,-3,-1053,-190
